영화명,감독,main_emotion,sub_emotion
마타하리,커티스 해링턴,우울,['눈물이 나는']
써튼 퓨리,스테판 길렌홀,우울,['마비된']
복성고조,홍금보,행복,['신뢰하는']
레드 소냐,리차드 플라이저,기타,['안달하는']
성룡의 프로텍터,제임스 그릭켄하우스,두려움,['두려운']
람보 2,조지 P. 코스마토스,기타,['고립된(당황한)']
싸이렌스,앤디 데이비스,기타,['취약한']
매드 맥스 썬더돔,조지 밀러,우울,['마비된']
코만도,마크 래스터,두려움,['희생된']
이어 오브 드라곤,마이클 치미노,화남,['악의적인']
용적심,홍금보,화남,"['안달하는', '두려운']"
007 뷰 투 어 킬,존 글랜,놀람,['충격 받은']
벰파이어,토비 후퍼,기타,['안달하는']
위트니스,피터 위어,기타,['충격 받은']
후라이트 나이트,톰 홀랜드,기타,['두려운']
실버라도,로렌스 캐스단,두려움,['버려진']
레이디호크,리차드 도너,평온,['안도']
킹 솔로몬,J. 리 톰슨,기타,['비통한']
레모,가이 해밀턴,우울,['염세적인']
프리찌스 오너,존 휴스턴,화남,['배신당한']
백야(白夜),테일러 핵포드,두려움,"['희생된', '안도']"
컬러 퍼플,스티븐 스필버그,기타,['취약한']
아웃 오브 아프리카,시드니 폴락,두려움,['혼란스러운']
세남자와 아기바구니,꼴리느 세로,우울,['비통한']
강시선생,류관위,기타,['당황']
빽 투 더 퓨쳐,로버트 저메키스,기타,"['한심한', '회의적인']"
빽 투 더 퓨쳐,로버트 저메키스,두려움,"['혼란스러운', '눈물이 나는']"
화이터,람베르토 바바,두려움,['희생된']
록키 4,실베스터 스탤론,우울,['비통한']
신의 아그네스,노만 제이슨,기타,['마비된']
하렘,아르뛰르 조페,화남,['분노']
블랙 이글,워드 키터,평온,['안도']
폴리스 아카데미 긴급출동,재리 패리스,놀람,['충격 받은']
나이트메어 2 - 프레디의 복수,잭 쇼울더,기타,['혐오스러운']
피라미드의 공포,배리 레빈슨,기타,['비통한']
피라미드의 공포,배리 레빈슨,행복,['흥분']
목면가사,서소명,기타,['혼란스러운']
애정의 숲(에메랄드 포레스트),존 부어맨,기타,['마비된']
노소강호,주연평,두려움,['희생된']
연분,황태래,두려움,['회의적인']
리브 앤 다이,윌리엄 프리드킨,기타,['마비된']
핫 타켓,대니스 C. 레이스톤,두려움,['희생된']
크리스탈 핫,잴 패트먼,화남,['악의적인']
핫 블라드,호세 피네이로,우울,['죄책감의']
레들대령,이스트반 자보,두려움,['희생된']
칠복성,홍금보,기타,['두려운']
데드위시,마이클 워너,기타,['악의적인']
낯선사람과 춤을,마이크 뉴웰,기타,['회의적인']
코러스라인,리차드 아텐보로,행복,['흥분']
라스트 드래곤,마이클 슐즈,기타,['감사하는']
워 앤드 러브,모쉐 미즈라히,기타,['눈물이 나는']
법외정,오사원,두려움,['희생된']
귀여운 짐승을 내가 쏘았다,에밀 로티야누,기타,['염세적인']
폴리스 스토리,성룡,기타,['흥분']
폴리스 스토리,성룡,기타,"['비통한', '희생된']"
폭주기관차,안드레이 곤잘롭스키,기타,['비통한']
아빠는 출장중,에밀 쿠스트리차,기타,['염세적인']
보디 카운트,안드리오 바르지니,우울,['마비된']
주말의 정사,가브리엘 라비아,기타,['혼란스러운(당황한)']
레이디 오브 나이트,피에로 스바치파,기타,['혐오스러운']
아메리칸 닌자,샘 훠스틴버그,우울,['비통한']
야생화,맥당걸,화남,['악의적인']
스트리트 워킹,조안 프리먼,우울,['마비된']
오피셜 스토리,루이스 푸엔조,우울,"['염세적인', '두려운']"
분노의 코만도,레안드로 루게티,두려움,"['당혹스러운', '충격 받은']"
바탈리언,댄 오바넌,우울,['마비된']
개같은 내 인생,라세 할스트롬,우울,['눈물이 나는']
차타레 부인 Ⅱ,알란 로버츠,화남,['질투하는']
우먼인 레드,진 와일더,놀람,['당황']
전망 좋은 방,제임스 아이보리,화남,['억울한']
여죄수 231호,미켈레 마시모 타란티니,화남,['억울한']
제니퍼 코넬리의 페노미나,다리오 아르젠토,우울,['마비된']
코쿤,론 하워드,평온,['안도']
격정,안드레이 줄랍스키,우울,['염세적인']
용호쌍권,최동준,평온,['안도']
그때 죽어도 좋았다,김문옥,기타,['눈물이 나는']
깊고 푸른 밤,배창호,화남,"['혼란스러운', '악의적인']"
그대 있어야 할 자리에,이상준,두려움,['희생된']
흑삼귀,남기남,우울,['염세적인']
양귀비,"고응호,오가준",우울,['비통한']
먹다버린 능금,박용준,우울,['염세적인']
그 어둠에 사랑이,김주희,화남,['악의적인']
이별없는 아침,이경태,기타,['눈물이 나는']
프로펫서,주세페 토르나또레,기타,['버려진']
춤추는 청춘대학,김응천,우울,['눈물이 나는']
오싱,이상언,우울,['가난한 불우한']
작년에 왔던 각설이,남기남,우울,['비통한']
부나비는 황혼이 슬프다,이상철,기타,['눈물이 나는']
월하의 사미인곡,박윤교,놀람,['충격 받은']
미녀 공동묘지,김인수,우울,['비통한']
미스김,박호태,우울,['슬픔']
밤의 열기속으로,장길수,기타,['악의적인']
J에게,김정일,우울,['비통한']
날개달린 녀석들,차성호,기타,['가난한 불우한']
W의 비극,김수형,우울,['염세적인']
뼈와 살이 타는 밤,조명화,우울,['죄책감의']
대학별곡,장성환,두려움,['희생된']
열병시대,김기현,두려움,['희생된']
창밖에 잠수교가 보인다,송영수,우울,['비통한']
초야에 타는 강,김기,기타,['혼란스러운(당황한)']
피조개 뭍에 오르다,양병간,우울,['비통한']
밤을 벗기는 독장미,김시현,기타,['비통한']
돌아이,이두용,화남,['악의적인']
여자정신대,"이상언,정중",우울,['비통한']
여자는 한번 승부한다,조명화,우울,['눈물이 나는']
안녕 도오쿄,문여송,화남,['배신당한']
욕망의 거리,김현명,두려움,['회의적인']
불씨,유진선,기타,['혐오스러운']
목없는 여살인마,김영한,화남,['배신당한']
밀림의 대탈출,김종성,기타,['마비된']
홍도경,김정용,두려움,['희생된']
여자의 대지에 비를 내려라,노세한,화남,['악의적인']
화려한 유혹,김수형,기타,['악의적인']
화녀촌,김기,기타,['희생된']
이브의 체험,곽정환,평온,['안도']
장사의 꿈,신승수,우울,['비통한']
밤을 먹고 사는 여인,"고응호,이작남",기타,['혐오스러운']
그것은 밤에 이뤄졌다,서윤모,화남,['악의적인']
왜불러,장영일,행복,['신뢰하는']
흑룡통첩장(일명 용의닌자),남기남,우울,['마비된']
별리,이성민,화남,['악의적인']
달빛타기,이영실,두려움,['조심스러운']
고추밭의 양배추,이미례,두려움,['희생된']
고추밭의 양배추,이미례,두려움,['희생된']
길소뜸,임권택,우울,"['고립된(당황한)', '비통한']"
사랑이 시작되는 날,한상훈,두려움,['혼란스러운']
삿갓쓴 장고,최영철,화남,['악의적인']
요색유희,강대선,우울,['비통한']
길고 깊은 입맞춤,김수형,두려움,['희생된']
오늘만은 참으세요,"신위균,여대위",기타,['흥분']
야훼의 딸,박남수,화남,['악의적인']
마지막 여름,김선경,기타,['희생된']
군자호구,임영동,기타,['희생된']
유리의 성,김정현,화남,['악의적인']
신술마술,"김종성,뢰성영",우울,['염세적인']
열아홉살 쌩머리,고영남,기타,['버려진']
난 이렇게 산다우,남기남,두려움,['희생된']
불춤,"고응호,이작남",우울,['가난한 불우한']
차라리 불덩이가 되리,심재석,기타,['배신당한']
"인간시장2, 불타는 욕망",김효천,화남,['악의적인']
마검야도,왕호,우울,['염세적인']
화랭이,고응호,기타,['희생된']
졸업여행,오성환,화남,['좌절한']
어미,박철수,화남,['분노']
색깔있는 남자,김성수,화남,['악의적인']
여왕벌,이원세,화남,['악의적인']
여자의 반란,김현명,화남,['악의적인']
방황하는 별들,차현재,행복,['자신하는']
여자여자,고영남,우울,['비통한']
설마가 사람잡네,조문진,기타,['두려운']
손오공 홍해아 대전,김종성,행복,['기쁨']
고래사냥 2,배창호,놀람,['충격 받은']
심형래의 탐정큐,남기남,우울,['염세적인']
물목,조명화,기타,['고립된']
엘리베이터 올라타기,이태원,화남,['악의적인']
캄.앤.씨,엘렘 클리모브,기타,['가난한 불우한']
나의 아름다운 세탁소,스테판 프리어스,우울,['염세적인']
